Store ID,Product ID,Inventory Level,Units Ordered,Forecast_Mean,Forecast_Std,Actual_Mean,Lead_Time,Demand_LT,Safety_Stock,Reorder_Point,Stockout_Risk,Suggested_Order_Qty,Days_of_Supply
S004,P0005,184,0,90.86446552546276,23.819394659050833,88.24342105263158,7,636.0512586782394,104,740.0512586782394,True,1192.0,2.0249940274885354
S004,P0013,389,0,98.140139894522,36.17005050910999,97.0,7,686.9809792616539,157,843.9809792616539,True,1142.0,3.9637196402826125
S004,P0012,201,0,76.40536766061591,21.769569044689447,77.86842105263158,7,534.8375736243114,95,629.8375736243114,True,964.0,2.6307052260100297
S004,P0011,596,0,96.15907844834746,30.517550498547532,99.32894736842105,7,673.1135491384322,133,806.1135491384322,True,883.0,6.198062727068934
S004,P0010,247,0,103.44511403831623,39.18097636826534,103.10526315789474,7,724.1157982682137,171,895.1157982682137,True,1372.0,2.3877396462486455
S004,P0009,472,0,94.28215006145979,29.3208196737517,93.59210526315789,7,659.9750504302185,128,787.9750504302185,True,976.0,5.006249854212244
S004,P0008,92,62,61.106612383693665,23.595241357252384,60.796052631578945,7,427.74628668585564,103,530.7462866858557,True,866.0,1.5055653784622212
S004,P0007,574,0,99.47511658933448,37.13952569366202,103.15789473684211,7,696.3258161253414,162,858.3258161253414,True,981.0,5.7702872806840535
S004,P0006,134,0,94.62573265766012,34.37746269689581,93.0,7,662.3801286036208,150,812.3801286036208,True,1341.0,1.4161052838004362
S004,P0004,439,451,103.08835777586482,37.156454754629465,103.32894736842105,7,721.6185044310538,162,883.6185044310538,True,1166.0,4.258482814853601
S003,P0012,286,0,65.08633803103187,26.358824423410066,65.22368421052632,7,455.6043662172231,115,570.6043662172231,True,740.0,4.394163332151839
S004,P0002,273,0,91.67623888335335,34.388848627182554,88.82236842105263,7,641.7336721834735,150,791.7336721834735,True,1160.0,2.9778708564534226
S004,P0001,342,0,103.09030429852051,36.65137365930716,101.25,7,721.6321300896435,160,881.6321300896435,True,1261.0,3.3174797797634223
S003,P0020,113,0,94.54579502305307,32.79686009650829,97.79605263157895,7,661.8205651613715,143,804.8205651613715,True,1354.0,1.195188003574852
S003,P0019,108,138,94.12923352827963,25.223142395226645,93.21052631578948,7,658.9046346979574,110,768.9046346979574,True,1320.0,1.1473587529803175
S003,P0018,652,0,64.1105052958952,23.749265155920526,65.41447368421052,7,448.77353707126633,103,551.7735370712663,False,0.0,10.169940121213576
S003,P0017,239,0,66.23942609377207,26.366928821878073,65.875,7,463.67598265640447,115,578.6759826564045,True,803.0,3.608123048373922
S003,P0016,161,0,90.1885037511044,33.08360979852826,92.55263157894737,7,631.3195262577308,144,775.3195262577308,True,1246.0,1.7851499171592418
S003,P0015,413,0,95.03484665928504,35.75048766037158,96.0,7,665.2439266149953,156,821.2439266149953,True,1073.0,4.345774360858079
S003,P0014,350,400,97.81515096737306,32.70019901066784,103.46710526315789,7,684.7060567716114,142,826.7060567716114,True,1161.0,3.578177782670345
S003,P0013,781,0,98.92711353338954,35.355446589954994,96.17105263157895,7,692.4897947337269,154,846.4897947337269,True,758.0,7.8947011805454075
S004,P0003,153,0,67.16860740526,27.06516805735105,68.35526315789474,7,470.18025183682005,118,588.18025183682,True,905.0,2.277849815716419
S004,P0014,379,0,64.2000751134474,25.557535432590694,65.01973684210526,7,449.4005257941318,111,560.4005257941318,True,631.0,5.903419884326808
S005,P0018,197,0,94.94909958522403,25.261397267544787,94.13157894736842,7,664.6436970965682,110,774.6436970965682,True,1242.0,2.074795873374002
S004,P0016,153,0,61.104320925603815,22.885889151021672,62.3421052631579,7,427.7302464792267,100,527.7302464792267,True,802.0,2.5039145789097583
S003,P0011,143,0,88.34367265692553,33.372159068930515,86.83552631578948,7,618.4057085984788,145,763.4057085984788,True,1239.0,1.6186784599201263
